Label,Data,text_length,clean,clean_sentence,clean_sentence_length
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,23,"['going', 'say', 'sorry', 'would', 'normal', 'starting', 'panic', 'time', 'sorry', 'seeing', 'tuesday']",going say sorry would normal starting panic time sorry seeing tuesday,11
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",14,"['wait', 'know', 'wesley', 'town', 'black', 'entertainment', 'television', 'hell', 'yeah', 'drug']",wait know wesley town black entertainment television hell yeah drug,10
ham,Fine i miss you very much.,6,"['fine', 'miss', 'much']",fine miss much,3
ham,Did u got that persons story,6,"['got', 'person', 'story']",got person story,3
ham,Tell them the drug dealer's getting impatient,7,"['tell', 'drug', 'dealer', 'getting', 'impatient']",tell drug dealer getting impatient,5
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",37,"['sun', 'cant', 'come', 'earth', 'send', 'love', 'ray', 'internet', 'cant', 'come', 'river', 'send', 'love', 'rain', 'cant', 'come', 'meet', 'u', 'send', 'care', 'message', 'u', 'good', 'evng']",sun cant come earth send love ray internet cant come river send love rain cant come meet u send care message u good evng,24
ham,You will be in the place of that man,9,"['place', 'man']",place man,2
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",18,"['doesnt', 'make', 'sense', 'take', 'unless', 'free', 'need', 'know', 'wikipedia', 'com']",doesnt make sense take unless free need know wikipedia com,10
spam,88800 and 89034 are premium phone services call 08718711108,9,"['premium', 'phone', 'service', 'call']",premium phone service call,4
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",29,"['sea', 'lay', 'rock', 'rock', 'envelope', 'envelope', 'paper', 'paper', 'word']",sea lay rock rock envelope envelope paper paper word,9
ham,Then mum's repent how?,4,"['mum', 'repent']",mum repent,2
ham,Sorry me going home first... Daddy come fetch Ì_ later...,10,"['sorry', 'going', 'home', 'first', 'daddy', 'come', 'cool', 'later']",sorry going home first daddy come cool later,8
ham,Leave it de:-). Start Prepare for next:-)..,7,"['leave', 'de', 'start', 'prepare', 'next']",leave de start prepare next,5
ham,Yes baby! We can study all the positions of the kama sutra ;),13,"['yes', 'baby', 'whatever', 'study', 'position', 'kama', 'sutra']",yes baby whatever study position kama sutra,7
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,8,"['en', 'chikku', 'nange', 'bakra', 'message', 'kalstiya', 'teacoffee']",en chikku nange bakra message kalstiya teacoffee,7
ham,Carlos'll be here in a minute if you still need to buy,12,"['carlosll', 'minute', 'still', 'need', 'buy']",carlosll minute still need buy,5
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),7,"['pay', 'ltdecimalgt', 'lakh']",pay ltdecimalgt lakh,3
ham,Have a good evening! Ttyl,5,"['good', 'evening', 'talk', 'later']",good evening talk later,4
ham,Did u receive my msg?,5,"['receive', 'msg']",receive msg,2
ham,Ho ho - big belly laugh! See ya tomo,9,"['hold', 'hold', 'great', 'belly', 'laugh', 'see', 'tomorrow']",hold hold great belly laugh see tomorrow,7
spam,SMS. ac sun0819 posts HELLO:\You seem cool,7,"['air', 'conditioning', 'sun', 'post', 'helloyou', 'seem', 'cool']",air conditioning sun post helloyou seem cool,7
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,32,"['get', 'sound', 'cell', 'phone', 'make', 'receiving', 'call', 'free', 'reply', 'message', 'tone', 'great', 'top', 'tone', 'phone', 'every', 'week', 'per', 'white', 'knight', 'opt', 'send', 'stop']",get sound cell phone make receiving call free reply message tone great top tone phone every week per white knight opt send stop,23
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",30,"['ditto', 'wont', 'worry', 'saying', 'anything', 'anymore', 'like', 'said', 'last', 'night', 'whatever', 'want', 'peace']",ditto wont worry saying anything anymore like said last night whatever want peace,13
ham,"I've got  &lt;#&gt; , any way I could pick up?",11,"['got', 'could', 'pick']",got could pick,3
ham,"I dont knw pa, i just drink milk..",8,"['dont', 'knw', 'pa', 'drink', 'milk']",dont knw pa drink milk,5
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,18,"['maybe', 'say', 'hello', 'find', 'got', 'card', 'great', 'escape', 'wetherspoons']",maybe say hello find got card great escape wetherspoons,9
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",14,"['piggy', 'awake', 'black', 'entertainment', 'television', 'ure', 'still', 'sleeping', 'going', 'lunch']",piggy awake black entertainment television ure still sleeping going lunch,10
ham,Cause I'm not freaky lol,5,"['freaky', 'laughing', 'loud']",freaky laughing loud,3
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,22,"['missed', 'call', 'yelling', 'scrappy', 'miss', 'u', 'cant', 'wait', 'come', 'home', 'lonely', 'today']",missed call yelling scrappy miss u cant wait come home lonely today,12
ham,What is this 'hex' place you talk of? Explain!,9,"['hex', 'place', 'talk', 'explain']",hex place talk explain,4
ham,ÌÏ log off 4 wat. It's sdryb8i,7,"['log', 'wat', 'sdrybi']",log wat sdrybi,3
ham,Is xy going 4 e lunch?,6,"['xy', 'going', 'ecstasy', 'lunch']",xy going ecstasy lunch,4
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,35,"['hello', 'sue', 'year', 'old', 'work', 'lapdancer', 'love', 'sex', 'text', 'exciting', 'bedroom', 'text', 'sue', 'textoperator', 'g', 'da', 'ppmsg']",hello sue year old work lapdancer love sex text exciting bedroom text sue textoperator g da ppmsg,17
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,20,"['wanted', 'ask', 'wait', 'finish', 'lect', 'lect', 'finish', 'hour', 'anyway']",wanted ask wait finish lect lect finish hour anyway,9
ham,Have you finished work yet? :),6,"['finished', 'work', 'yet']",finished work yet,3
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",29,"['every', 'king', 'cry', 'baby', 'every', 'great', 'building', 'map', 'imprtant', 'today', 'wil', 'reach', 'tomorw', 'good', 'ni']",every king cry baby every great building map imprtant today wil reach tomorw good ni,15
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",30,"['dearme', 'cherthala', 'case', 'coming', 'cochin', 'please', 'call', 'bfore', 'start', 'shall', 'also', 'reach', 'accordingly', 'tell', 'day', 'coming', 'tmorow', 'engaged', 'answer', 'holiday']",dearme cherthala case coming cochin please call bfore start shall also reach accordingly tell day coming tmorow engaged answer holiday,20
ham,Thanks love. But am i doing torch or bold.,9,"['thanks', 'love', 'torch', 'bold']",thanks love torch bold,4
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,15,"['forwarded', 'please', 'call', 'immediately', 'urgent', 'message', 'waiting']",forwarded please call immediately urgent message waiting,7
ham,Was the farm open?,4,"['farm', 'open']",farm open,2
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",24,"['sorry', 'trouble', 'buy', 'dad', 'great', 'small', 'scholastic', 'assessment', 'test', 'sun', 'thanx']",sorry trouble buy dad great small scholastic assessment test sun thanx,11
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",15,"['sister', 'law', 'hope', 'great', 'month', 'saying', 'hey', 'abiola']",sister law hope great month saying hey abiola,8
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,16,"['purchase', 'stuff', 'today', 'mail', 'po', 'box', 'number']",purchase stuff today mail po box number,7
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,21,"['ah', 'poop', 'look', 'like', 'cool', 'tight', 'etc', 'probably', 'send', 'laptop', 'get', 'fixed', 'graphic', 'processing', 'unit', 'problem']",ah poop look like cool tight etc probably send laptop get fixed graphic processing unit problem,16
ham,Good. Good job. I like entrepreneurs,6,"['good', 'good', 'job', 'like', 'entrepreneur']",good good job like entrepreneur,5
ham,"Aight, you close by or still down around alex's place?",10,"['aight', 'close', 'still', 'around', 'alexs', 'place']",aight close still around alexs place,6
ham,meet you in corporation st outside gap Û_ you can see how my mind is working!,16,"['meet', 'corporation', 'something', 'outside', 'gap', 'see', 'mind', 'working']",meet corporation something outside gap see mind working,8
ham,Mum ask Ì_ to buy food home...,7,"['mom', 'ask', 'buy', 'food', 'home']",mom ask buy food home,5
ham,K..u also dont msg or reply to his msg..,9,"['k', 'u', 'also', 'dont', 'message', 'reply', 'msg']",k u also dont message reply msg,7
ham,How much r Ì_ willing to pay?,7,"['much', 'willing', 'pay']",much willing pay,3
ham,"Sorry, I'll call later",4,"['sorry', 'call', 'later']",sorry call later,3
ham,What is important is that you prevent dehydration by giving her enough fluids,13,"['important', 'prevent', 'dehydration', 'giving', 'enough', 'fluid']",important prevent dehydration giving enough fluid,6
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",23,"['thats', 'binary', 'digit', 'weird', 'even', 'supposed', 'happening', 'good', 'idea', 'sure', 'pub']",thats binary digit weird even supposed happening good idea sure pub,11
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,15,"['true', 'dear', 'scholastic', 'assessment', 'test', 'pray', 'evening', 'felt', 'smsd', 'time']",true dear scholastic assessment test pray evening felt smsd time,10
ham,"I don't think I can get away for a trek that long with family in town, sorry",17,"['think', 'get', 'away', 'trek', 'long', 'family', 'town', 'sorry']",think get away trek long family town sorry,8
ham,So when do you wanna gym harri,7,"['want', 'gym', 'harri']",want gym harri,3
ham,Quite late lar... Ard 12 anyway i wun b drivin...,10,"['quite', 'missed', 'period', 'lar', 'alright', 'anyway', 'bye', 'drivin']",quite missed period lar alright anyway bye drivin,8
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",24,"['review', 'keep', 'fantastic', 'nokia', 'ngage', 'game', 'cool', 'club', 'nokia', 'go', 'unsubscribe', 'alert', 'reply', 'word']",review keep fantastic nokia ngage game cool club nokia go unsubscribe alert reply word,14
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,26,"['mths', 'half', 'price', 'orange', 'line', 'powdered', 'drug', 'rental', 'latest', 'camera', 'phone', 'free', 'phone', 'mths', 'call', 'mobilesdirect', 'free', 'update', 'orstoptxt', 'tc']",mths half price orange line powdered drug rental latest camera phone free phone mths call mobilesdirect free update orstoptxt tc,20
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,52,"['height', 'confidence', 'aeronautics', 'professor', 'wer', 'calld', 'amp', 'wer', 'askd', 'stay', 'touch', 'aeroplane', 'aftr', 'scholastic', 'assessment', 'test', 'wer', 'told', 'plane', 'w', 'made', 'student', 'hurried', 'plane', 'bittorrent', 'didnt', 'move', 'saidif', 'made', 'student']",height confidence aeronautics professor wer calld amp wer askd stay touch aeroplane aftr scholastic assessment test wer told plane w made student hurried plane bittorrent didnt move saidif made student,30
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,40,"['seems', 'like', 'weird', 'timing', 'night', 'grin', 'want', 'come', 'smoke', 'day', 'shitstorm', 'attributed', 'always', 'coming', 'making', 'everyone', 'smoke']",seems like weird timing night grin want come smoke day shitstorm attributed always coming making everyone smoke,17
spam,08714712388 between 10am-7pm Cost 10p,5,"['ampm', 'cost', 'p']",ampm cost p,3
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",24,"['save', 'stress', 'person', 'dorm', 'account', 'send', 'account', 'detail', 'money', 'sent']",save stress person dorm account send account detail money sent,10
ham,He also knows about lunch menu only da. . I know,11,"['also', 'know', 'lunch', 'menu', 'da', 'know']",also know lunch menu da know,6
ham,When i have stuff to sell i.ll tell you,9,"['stuff', 'sell', 'tell']",stuff sell tell,3
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,23,"['urgent', 'attempt', 'contact', 'uu', 'call', 'tcsbcmwcnxx', 'callcost', 'ppm', 'mobilesvary', 'max']",urgent attempt contact uu call tcsbcmwcnxx callcost ppm mobilesvary max,10
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,24,"['cool', 'predictive', 'text', 'lesson', 'message', 'call', 'work', 'sth', 'going', 'get', 'spec', 'membership', 'px']",cool predictive text lesson message call work sth going get spec membership px,13
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,24,"['guaranteed', 'cash', 'prize', 'claim', 'yea', 'right', 'prize', 'call', 'customer', 'service', 'representative', 'ampm']",guaranteed cash prize claim yea right prize call customer service representative ampm,12
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,28,"['macha', 'dont', 'feel', 'upset', 'assume', 'mindset', 'believe', 'one', 'love', 'evening', 'wonderful', 'plan', 'u', 'let', 'life', 'begin', 'call', 'anytime']",macha dont feel upset assume mindset believe one love evening wonderful plan u let life begin call anytime,18
ham,Oh is it? Send me the address,7,"['half', 'send', 'address']",half send address,3
ham,S'fine. Anytime. All the best with it.,7,"['sfine', 'anytime', 'best']",sfine anytime best,3
ham,That is wondar full flim.,5,"['wondar', 'full', 'flim']",wondar full flim,3
ham,Ya even those cookies have jelly on them,8,"['even', 'cooky', 'jelly']",even cooky jelly,3
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",42,"['world', 'running', 'still', 'maybe', 'feeling', 'sameso', 'admiti', 'mad', 'correctionor', 'let', 'call', 'life', 'keep', 'running', 'worldmay', 'also', 'running', 'let', 'run']",world running still maybe feeling sameso admiti mad correctionor let call life keep running worldmay also running let run,19
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,13,"['got', 'look', 'scrumptious', 'daddy', 'want', 'eat', 'night', 'long']",got look scrumptious daddy want eat night long,8
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,35,"['lar', 'ba', 'dao', 'ok', 'pm', 'lor', 'never', 'ask', 'whatever', 'go', 'ah', 'said', 'would', 'ask', 'fri', 'said', 'ask', 'today']",lar ba dao ok pm lor never ask whatever go ah said would ask fri said ask today,18
ham,"Alright omw, gotta change my order to a half8th",9,"['alright', 'omw', 'got', 'change', 'order', 'halfth']",alright omw got change order halfth,6
ham,Exactly. Anyways how far. Is jide her to study or just visiting,12,"['exactly', 'anyways', 'far', 'jide', 'study', 'visiting']",exactly anyways far jide study visiting,6
ham,Dunno y u ask me.,5,"['know', 'ask']",know ask,2
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,13,"['email', 'alertfrom', 'jeri', 'stewartsize', 'kbsubject', 'lowcost', 'prescripiton', 'drvgsto', 'listen', 'email', 'call']",email alertfrom jeri stewartsize kbsubject lowcost prescripiton drvgsto listen email call,11
ham,No he didn't. Spring is coming early yay!,8,"['offence', 'didnt', 'spring', 'coming', 'early', 'yay']",offence didnt spring coming early yay,6
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,19,"['laughing', 'loud', 'wont', 'feel', 'good', 'use', 'money', 'take', 'steak', 'dinner']",laughing loud wont feel good use money take steak dinner,10
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,26,"['even', 'dont', 'get', 'trouble', 'convincing', 'tel', 'twice', 'tel', 'neglect', 'msg', 'dont', 'see', 'read', 'dont', 'reply']",even dont get trouble convincing tel twice tel neglect msg dont see read dont reply,15
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,17,"['leaving', 'qatar', 'tonite', 'search', 'opportunity', 'went', 'fast', 'pls', 'attention', 'deficit', 'disorder', 'prayer', 'dear', 'rakhesh']",leaving qatar tonite search opportunity went fast pls attention deficit disorder prayer dear rakhesh,14
ham,Then why no one talking to me,7,"['offence', 'one', 'love', 'talking']",offence one love talking,4
ham,Thanks for looking out for me. I really appreciate.,9,"['thanks', 'looking', 'really', 'appreciate']",thanks looking really appreciate,4
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,25,"['hi', 'customer', 'loyalty', 'offerthe', 'new', 'nokia', 'mobile', 'txtauction', 'message', 'word', 'start', 'get', 'tctxt', 'take', 'care', 'pmtmsg']",hi customer loyalty offerthe new nokia mobile txtauction message word start get tctxt take care pmtmsg,16
ham,Wish i were with you now!,6,['wish'],wish,1
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,31,"['haha', 'mayb', 'ure', 'rite', 'know', 'well', 'district', 'attorney', 'feeling', 'liked', 'someone', 'gangsta', 'disciple', 'lor', 'faster', 'go', 'find', 'one', 'love', 'gal', 'group', 'attached', 'liao']",haha mayb ure rite know well district attorney feeling liked someone gangsta disciple lor faster go find one love gal group attached liao,23
ham,Yes i will be there. Glad you made it.,9,"['yes', 'glad', 'made']",yes glad made,3
ham,Do well :)all will for little time. Thing of good times ahead:,12,"['little', 'time', 'thing', 'good', 'time', 'ahead']",little time thing good time ahead,6
ham,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,40,"['got', 'room', 'soon', 'hadnt', 'put', 'clock', 'back', 'shouted', 'everyone', 'get', 'realised', 'wahay', 'another', 'hour', 'bed']",got room soon hadnt put clock back shouted everyone get realised wahay another hour bed,15
ham,Ok. There may be a free gym about.,8,"['ok', 'may', 'free', 'gym']",ok may free gym,4
ham,Men like shorter ladies. Gaze up into his eyes.,9,"['men', 'like', 'shorter', 'lady', 'gaze', 'eye']",men like shorter lady gaze eye,6
ham,Dunno he jus say go lido. Same time 930.,9,"['know', 'jus', 'say', 'go', 'lido', 'time']",know jus say go lido time,6
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",23,"['promise', 'take', 'good', 'care', 'princess', 'run', 'please', 'send', 'pic', 'get', 'chance', 'ttyl']",promise take good care princess run please send pic get chance ttyl,12
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,25,"['subscribed', 'best', 'mobile', 'content', 'service', 'ok', 'per', 'day', 'send', 'stop', 'helpline']",subscribed best mobile content service ok per day send stop helpline,11
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,21,"['reason', 'weve', 'spoken', 'year', 'anyways', 'great', 'week', 'best', 'exam']",reason weve spoken year anyways great week best exam,9
ham,By monday next week. Give me the full gist,9,"['monday', 'next', 'week', 'give', 'full', 'gist']",monday next week give full gist,6
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",18,"['realize', 'year', 'well', 'thousand', 'old', 'lady', 'running', 'around', 'tattoo']",realize year well thousand old lady running around tattoo,9
spam,You have an important customer service announcement from PREMIER.,9,"['important', 'customer', 'service', 'announcement', 'premier']",important customer service announcement premier,5
ham,Dont gimme that lip caveboy,5,"['dont', 'give', 'lip', 'caveboy']",dont give lip caveboy,4
ham,When did you get to the library,7,"['get', 'library']",get library,2
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,16,"['realy', 'sorryi', 'recognise', 'number', 'confused', 'please']",realy sorryi recognise number confused please,6
ham,So why didnt you holla?,5,"['didnt', 'holla']",didnt holla,2
ham,Cant think of anyone with * spare room off * top of my head,14,"['cant', 'think', 'anyone', 'indicating', 'spelling', 'correction', 'spare', 'room', 'indicating', 'spelling', 'correction', 'top', 'head']",cant think anyone indicating spelling correction spare room indicating spelling correction top head,13
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",17,"['faith', 'make', 'thing', 'possiblehope', 'make', 'thing', 'worklove', 'make', 'thing', 'beautifulmay', 'three', 'christmasmerry', 'christmas']",faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas,13
ham,U should have made an appointment,6,"['made', 'appointment']",made appointment,2
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",18,"['call', 'youcarlos', 'isare', 'phone', 'vibrate', 'acting', 'might', 'hear', 'text']",call youcarlos isare phone vibrate acting might hear text,9
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",16,"['romantic', 'paris', 'night', 'flight', 'cool', 'predictive', 'text', 'next', 'year', 'call', 'tscs', 'apply']",romantic paris night flight cool predictive text next year call tscs apply,12
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",28,"['whatever', 'grandma', 'half', 'dear', 'still', 'ill', 'felt', 'shit', 'morning', 'think', 'hungover', 'another', 'night', 'whatever', 'leave', 'sat']",whatever grandma half dear still ill felt shit morning think hungover another night whatever leave sat,16
spam,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,15,"['urgent', 'guaranteed', 'award', 'still', 'unclaimed', 'call', 'closingdate', 'claimcode', 'mm', 'pmmorefrommobilebremovedmobypoboxlsyf']",urgent guaranteed award still unclaimed call closingdate claimcode mm pmmorefrommobilebremovedmobypoboxlsyf,10
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,32,"['nothing', 'whatever', 'jus', 'small', 'child', 'would', 'ask', 'ba', 'gua', 'whatever', 'went', 'mistell', 'faber', 'yest', 'yest', 'jus', 'went', 'already', 'today', 'going', 'jus', 'call', 'lor']",nothing whatever jus small child would ask ba gua whatever went mistell faber yest yest jus went already today going jus call lor,23
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",14,"['wishing', 'family', 'merry', 'x', 'mildly', 'amused', 'smirk', 'happy', 'new', 'year', 'advance']",wishing family merry x mildly amused smirk happy new year advance,11
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,23,"['awarded', 'city', 'break', 'could', 'win', 'summer', 'shopping', 'spree', 'every', 'wk', 'message', 'store', 'skilgme', 'tscswinawkage', 'perwksub']",awarded city break could win summer shopping spree every wk message store skilgme tscswinawkage perwksub,15
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",20,"['thanks', 'goin', 'got', 'somethin', 'unless', 'meetin', 'dinner', 'lor', 'haha', 'wonder', 'go', 'time']",thanks goin got somethin unless meetin dinner lor haha wonder go time,12
ham,"Sorry, I'll call later",4,"['sorry', 'call', 'later']",sorry call later,3
ham,I cant pick the phone right now. Pls send a message,11,"['cant', 'pick', 'phone', 'right', 'please', 'send', 'message']",cant pick phone right please send message,7
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,24,"['laughing', 'loud', 'know', 'theyre', 'dramatic', 'school', 'already', 'closed', 'tomorrow', 'apparently', 'whatever', 'cant', 'drive', 'inch', 'cocaine', 'supposed', 'get']",laughing loud know theyre dramatic school already closed tomorrow apparently whatever cant drive inch cocaine supposed get,17
ham,Not getting anywhere with this damn job hunting over here!,10,"['getting', 'anywhere', 'damn', 'job', 'hunting']",getting anywhere damn job hunting,5
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,19,"['lol', 'drunkard', 'hair', 'moment', 'yeah', 'still', 'tonight', 'wats', 'plan']",lol drunkard hair moment yeah still tonight wats plan,9
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row",18,"['care', 'get', 'weaseling', 'shit', 'twice', 'rest', 'world']",care get weaseling shit twice rest world,7
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space,13,"['wil', 'minute', 'got', 'space']",wil minute got space,4
ham,Just sleeping..and surfing,3,"['sleeping', 'surfing']",sleeping surfing,2
ham,Thanks for picking up the trash.,6,"['thanks', 'picking', 'trash']",thanks picking trash,3
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,29,"['go', 'tell', 'friend', 'sure', 'want', 'exciting', 'smoke', 'much', 'spend', 'hour', 'begging', 'come', 'smoke']",go tell friend sure want exciting smoke much spend hour begging come smoke,13
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",27,"['hi', 'kate', 'lovely', 'see', 'tonight', 'cool', 'tight', 'etc', 'phone', 'tomorrow', 'got', 'sing', 'guy', 'gave', 'card', 'xxx']",hi kate lovely see tonight cool tight etc phone tomorrow got sing guy gave card xxx,16
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,27,"['happy', 'new', 'year', 'drop', 'everything', 'read', 'brother', 'really', 'miss', 'got', 'number', 'decided', 'send', 'text', 'wishing', 'happiness', 'abiola']",happy new year drop everything read brother really miss got number decided send text wishing happiness abiola,17
ham,That means get the door,5,"['mean', 'get', 'door']",mean get door,3
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,26,"['opinion', 'jada', 'kusruthi', 'lovable', 'silent', 'spl', 'character', 'matured', 'stylish', 'simple', 'please', 'reply']",opinion jada kusruthi lovable silent spl character matured stylish simple please reply,12
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",22,"['hmmm', 'silence', 'thought', 'whatever', 'said', 'hour', 'slave', 'silence', 'missed', 'period', 'silence', 'punish']",hmmm silence thought whatever said hour slave silence missed period silence punish,12
ham,Beerage?,1,['beerage'],beerage,1
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,15,"['important', 'customer', 'service', 'announcement', 'premier', 'call', 'freephone']",important customer service announcement premier call freephone,7
ham,Dont think so. It turns off like randomlly within 5min of opening,12,"['dont', 'think', 'turn', 'like', 'randomlly', 'within', 'min', 'opening']",dont think turn like randomlly within min opening,8
ham,"She was supposed to be but couldn't make it, she's still in town though",14,"['supposed', 'couldnt', 'make', 'shes', 'still', 'town', 'though']",supposed couldnt make shes still town though,7
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,24,"['time', 'fix', 'spelling', 'sometimes', 'get', 'completely', 'diff', 'word', 'go', 'figure']",time fix spelling sometimes get completely diff word go figure,10
